Name,Formatted address,Latitude,Longitude,City,Country,Region,District,Population
Dhaka,"Dhaka, Bangladesh",23.810332,90.4125181,Dhaka,Bangladesh,Dhaka Division,Dhaka District,8906039
Chittagong,"Chattogram, Bangladesh",22.356851,91.7831819,Chattogram,Bangladesh,Chittagong Division,Chittagong District,2592439
Khulna,"Khulna, Bangladesh",22.845641,89.5403279,Khulna,Bangladesh,Khulna Division,Khulna District,664728
Sylhet,"Sylhet, Bangladesh",24.8949294,91.8687063,Sylhet,Bangladesh,Sylhet Division,Sylhet District,526412
Rajshahi,"Rajshahi, Bangladesh",24.3745146,88.604166,Rajshahi,Bangladesh,Rajshahi Division,Rajshahi District,451425
Tongi,"Tongi, Bangladesh",23.9010413,90.4088223,Tongi,Bangladesh,Dhaka Division,Gazipur District,406420
Bogra,"Bogura, Bangladesh",24.848078,89.3729633,Bogura,Bangladesh,Rajshahi Division,Bogra District,400983
Mymensingh,"Mymensingh, Bangladesh",24.7471492,90.4202734,Mymensingh,Bangladesh,Dhaka Division,Mymensingh District,389918
Barisal,"Barishal, Bangladesh",22.7010021,90.3534511,Barishal,Bangladesh,Barisal Division,Barisal District,339308
Rangpur,"Rangpur, Bangladesh",25.7438916,89.275227,Rangpur,Bangladesh,Rangpur Division,Rangpur District,307053
Savar,"Savar Union, Bangladesh",23.8478798,90.2575646,Savar Union,Bangladesh,Dhaka Division,Dhaka District,296851
Comilla,"Cumilla, Bangladesh",23.4606574,91.1809065,Cumilla,Bangladesh,Chittagong Division,Comilla District,296010
Narayanganj,"Narayanganj, Bangladesh",23.6237764,90.5000404,Narayanganj,Bangladesh,Dhaka Division,Narayanganj District,286330
Siddhirganj,"Siddhirganj, Bangladesh",23.6894656,90.484115,Siddhirganj,Bangladesh,Dhaka Division,Narayanganj District,256760
Jessore,"Jashore, Bangladesh",23.1777682,89.1801225,Jashore,Bangladesh,Khulna Division,Jessore District,237478
Cox's Bazar,"Cox's Bazar, Bangladesh",21.4272283,92.0058074,Cox's Bazar,Bangladesh,Chittagong Division,Cox's Bazar District,223522
Gazipur,"Gazipur, Bangladesh",23.9999405,90.4202724,Gazipur,Bangladesh,Dhaka Division,Gazipur District,213061
Brahmanbaria,"Brahmanbaria, Bangladesh",23.9675393,91.1119148,Brahmanbaria,Bangladesh,Chittagong Division,Brahmanbaria District,193814
Dinajpur,"Dinajpur, Bangladesh",25.6221009,88.6437649,Dinajpur,Bangladesh,Rangpur Division,Dinajpur District,191329
Narsingdi,"Narsingdi, Bangladesh",23.9192671,90.7176492,Narsingdi,Bangladesh,Dhaka Division,Narsingdi District,185128
Nawabganj,"Nawabganj, Bangladesh",23.653123,90.1518394,Nawabganj,Bangladesh,Dhaka Division,Dhaka District,180731
Chandpur,"Chandpur, Bangladesh",23.2320991,90.663075,Chandpur,Bangladesh,Chittagong Division,Chandpur District,171065
Tangail,"Tangail, Bangladesh",24.2513451,89.9167104,Tangail,Bangladesh,Dhaka Division,Tangail District,167412
Sirajganj,"Sirajganj, Bangladesh",24.4526459,89.6816208,Sirajganj,Bangladesh,Rajshahi Division,Sirajganj District,167200
Kaliakair,"Kaliakair, Bangladesh",24.0694528,90.2221213,Kaliakair,Bangladesh,Dhaka Division,Gazipur District,163498
Feni,"Feni District, Bangladesh",22.9408784,91.4066646,Feni,Bangladesh,Chittagong Division,Feni District,156971
Tarabo,"Tarabo, Bangladesh",23.72229546,90.50831354,Tarabo,Bangladesh,Dhaka Division,Narayanganj District,150709
Naogaon,"Naogaon, Bangladesh",24.7936071,88.9318082,Naogaon,Bangladesh,Rajshahi Division,Naogaon District,150549
Jamalpur,"Jamalpur, Bangladesh",24.9249785,89.9463408,Jamalpur,Bangladesh,Dhaka Division,Jamalpur District,150172
Pabna,"Pabna, Bangladesh",24.0128563,89.2590572,Pabna,Bangladesh,Rajshahi Division,Pabna District,144442
Saidpur,"Saidpur, Bangladesh",25.7829542,88.8982666,Saidpur,Bangladesh,Rangpur Division,Nilphamari District,133433
Begumganj,"Begumganj, Bangladesh",22.9319328,91.0921473,Begumganj,Bangladesh,Chittagong Division,Noakhali District,132948
Noakhali,"Noakhali, Bangladesh",22.8246384,91.1017334,Noakhali,Bangladesh,Chittagong Division,Noakhali District,130842
In Barisal,"Barishal, Bangladesh",22.7010021,90.3534511,Barishal,Bangladesh,Barisal Division,Barisal District,128865
Sripur,"Sripur, Sylhet Division, Tahirpur, Bangladesh",25.0799999,91.15,Tahirpur,Bangladesh,Sylhet Division,Sunamganj District,126249
Faridpur,"Faridpur, Bangladesh",23.6018691,89.8333382,Faridpur,Bangladesh,Dhaka Division,Faridpur District,122425
Bhairab,"Bhairab, Bangladesh",24.0555274,90.9802452,Bhairab,Bangladesh,Dhaka Division,Kishoreganj District,118992
Satkhira,"Satkhira, Bangladesh",22.7184852,89.0704766,Satkhira,Bangladesh,Khulna Division,Satkhira District,113322
Comilla-Sadar Dakshin,"Comilla Sadar Dakshin Upazila, Bangladesh",23.4189058,91.1726637,Comilla,Bangladesh,Chittagong Division,Comilla District,111891
Jessore,"Jashore, Bangladesh",23.1777682,89.1801225,Jashore,Bangladesh,Khulna Division,Jessore District,110541
Kushtia,"Kushtia, Bangladesh",23.9087767,89.1219822,Kushtia,Bangladesh,Khulna Division,Kushtia District,108423
Kishoreganj,"Kishoreganj, Bangladesh",24.4331227,90.7865655,Kishoreganj,Bangladesh,Dhaka Division,Kishoreganj District,103798
